package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2016-07,Accessibility And The Choice Of Network Investments In The London Underground,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2016-07-accessibility-and-the-choice-of-network-investments-in-the-london-underground,data/derived/otp_headway_accessibility_regressionplots.xlsx,Sheet1,column_1,,numeric,12,10 | 20 | 30 | 40 | 50,10,60,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 14 non-empty rows from worksheet.
paper-2016-07,Accessibility And The Choice Of Network Investments In The London Underground,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2016-07-accessibility-and-the-choice-of-network-investments-in-the-london-underground,data/derived/otp_headway_accessibility_regressionplots.xlsx,Sheet1,T1,,mixed_numeric_text,13,74785.97 | 77309.21 | 74042.85 | 75271.6 | 76989.93,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 14 non-empty rows from worksheet.
paper-2016-07,Accessibility And The Choice Of Network Investments In The London Underground,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2016-07-accessibility-and-the-choice-of-network-investments-in-the-london-underground,data/derived/otp_headway_accessibility_regressionplots.xlsx,Sheet1,T2,,mixed_numeric_text,13,75027.15 | 79605.68 | 72546.61 | 69783.88 | 70257.35,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 14 non-empty rows from worksheet.
paper-2016-07,Accessibility And The Choice Of Network Investments In The London Underground,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2016-07-accessibility-and-the-choice-of-network-investments-in-the-london-underground,data/derived/otp_headway_accessibility_regressionplots.xlsx,Sheet1,T3,,numeric,6,74785.96 | 77297.16 | 71011.95 | 69459.67 | 70179.07,69459.67,77297.16,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 14 non-empty rows from worksheet.
paper-2016-07,Accessibility And The Choice Of Network Investments In The London Underground,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2016-07-accessibility-and-the-choice-of-network-investments-in-the-london-underground,data/derived/otp_headway_accessibility_regressionplots.xlsx,Sheet1,T4,,numeric,6,73952.05 | 76197.78 | 70657.04 | 68858.3 | 69682.77,68858.3,76197.78,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 14 non-empty rows from worksheet.
paper-2016-07,Accessibility And The Choice Of Network Investments In The London Underground,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2016-07-accessibility-and-the-choice-of-network-investments-in-the-london-underground,data/derived/otp_headway_accessibility_regressionplots.xlsx,Sheet1,C,,numeric,6,63090.78 | 65435.92 | 62421.57 | 61219.41 | 61096.77,61096.77,65435.92,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 14 non-empty rows from worksheet.
